[1732813332.472474161] PING 172.16.2.240 (172.16.2.240) 56(84) bytes of data.
[1732813595.831341558] 64 bytes from 172.16.2.240: icmp_seq=264 ttl=59 time=46.7 ms
[1732813596.852561617] 64 bytes from 172.16.2.240: icmp_seq=265 ttl=59 time=66.8 ms
[1732813597.840419539] 64 bytes from 172.16.2.240: icmp_seq=266 ttl=59 time=53.1 ms
[1732813598.920245331] 64 bytes from 172.16.2.240: icmp_seq=267 ttl=59 time=132 ms
[1732813599.842485525] 64 bytes from 172.16.2.240: icmp_seq=268 ttl=59 time=53.7 ms
[1732813600.834697870] 64 bytes from 172.16.2.240: icmp_seq=269 ttl=59 time=44.7 ms
[1732813601.853546376] 64 bytes from 172.16.2.240: icmp_seq=270 ttl=59 time=60.7 ms
[1732813602.831388987] 64 bytes from 172.16.2.240: icmp_seq=271 ttl=59 time=37.9 ms
[1732813603.849636270] 64 bytes from 172.16.2.240: icmp_seq=272 ttl=59 time=53.9 ms
[1732813604.863898887] 64 bytes from 172.16.2.240: icmp_seq=273 ttl=59 time=65.6 ms
[1732813605.831688716] 64 bytes from 172.16.2.240: icmp_seq=274 ttl=59 time=32.7 ms
[1732813606.854205953] 64 bytes from 172.16.2.240: icmp_seq=275 ttl=59 time=54.8 ms
[1732813607.858857000] 64 bytes from 172.16.2.240: icmp_seq=276 ttl=59 time=56.8 ms
